Date,Precip_in,Tmin_C,Tmax_C,PET_in,Flow_in,Flow_cfs
12/2/2000,0,-7.8,-0.6,0.017236429,0.03312477,22
12/3/2000,0,-10.6,1.1,0.020952334,0.028607756,19
12/4/2000,0,-9.4,8.3,0.033863126,0.025596413,17
12/5/2000,0,-9.4,8.9,0.034834927,0.025596413,17
12/6/2000,0,-8.3,0.6,0.019208074,0.02258507,15
12/7/2000,0,-8.9,0.6,0.019322159,0.021079399,14
12/8/2000,0,-10.6,-6.7,0.008260532,0.021079399,14
12/9/2000,0,-12.2,-0.6,0.017673848,0.019573728,13
12/10/2000,0.011811024,-12.8,1.7,0.02115006,0.018068056,12
12/11/2000,0.011811024,-0.6,5.6,0.022836595,0.018068056,12
12/12/2000,0.039370079,-5.6,12.8,0.041339551,0.019573728,13
12/13/2000,0,-10,-1.7,0.015460056,0.018068056,12
12/14/2000,0.87007874,-4.4,1.7,0.018199312,0.028607756,19
12/15/2000,0,-7.2,3.9,0.024051305,0.028607756,19
12/16/2000,0.149606299,-4.4,7.2,0.029179439,0.036136113,24
12/17/2000,2,2.8,18.3,0.049735939,0.203265634,135
12/18/2000,0,-2.8,4.4,0.02221768,0.29812293,198
12/19/2000,0.098425197,-4.4,3.3,0.021295414,0.156589822,104
12/20/2000,0.511811024,-6.7,0.6,0.017725626,0.124970723,83
12/21/2000,0,-9.4,0,0.017866702,0.093351624,62
12/22/2000,0.019685039,-5.6,-0.6,0.014629756,0.072272225,48
12/23/2000,0,-10.6,-1.7,0.015482658,0.060226854,40
12/24/2000,0,-9.4,0,0.017914862,0.049687155,33
12/25/2000,0,-13.3,-3.9,0.012602212,0.045170141,30
12/26/2000,0,-15,-3.3,0.013245951,0.040653127,27
12/27/2000,0,-8.3,0,0.017647617,0.037641784,25
12/28/2000,0,-9.4,-5,0.010005684,0.034630441,23
12/29/2000,0,-10.6,0,0.018371143,0.031619099,21
12/30/2000,1.299212598,-8.3,0.6,0.01885202,0.036136113,24
12/31/2000,0.051181102,-6.1,0,0.016565938,0.064743869,43
1/1/2001,0,-8.3,1.1,0.019797546,0.046675812,31
1/2/2001,0,-11.7,-1.7,0.016028963,0.039147455,26
1/3/2001,0,-11.7,0.6,0.019708119,0.031619099,21
1/4/2001,0,-9.4,1.1,0.020389486,0.028607756,19
1/5/2001,0.098425197,-11.7,0,0.018941228,0.027102085,18
1/6/2001,0.448818898,-3.3,1.1,0.016323062,0.030113427,20
1/7/2001,0,-6.1,2.8,0.022582823,0.031619099,21
1/8/2001,0.078740157,-7.8,2.2,0.022371304,0.024090742,16
1/9/2001,0.188976378,-6.7,0,0.017755339,0.025596413,17
1/10/2001,0,-12.2,-2.2,0.016020809,0.027102085,18
1/11/2001,0,-12.8,3.9,0.026260369,0.025596413,17
1/12/2001,0,-12.2,0,0.019816837,0.024090742,16
1/13/2001,0,-14.4,2.2,0.023293603,0.021079399,14
1/14/2001,0,-7.8,6.1,0.031125728,0.021079399,14
1/15/2001,0.330708661,-5,1.7,0.020759256,0.025596413,17
1/16/2001,0,-4.4,3.3,0.023972087,0.027102085,18
1/17/2001,0,-3.3,5,0.027143454,0.025596413,17
1/18/2001,0,-10,-0.6,0.019534377,0.02258507,15
1/19/2001,0.37007874,-0.6,1.7,0.014315373,0.03312477,22
1/20/2001,0.011811024,-5,0,0.017764419,0.037641784,25
1/21/2001,0.358267717,-12.2,-2.2,0.017572892,0.028607756,19
1/22/2001,0,-14.4,1.7,0.024322356,0.024090742,16
1/23/2001,0,-14.4,3.3,0.027557694,0.02258507,15
1/24/2001,0,-10.6,5,0.032002643,0.021079399,14
1/25/2001,0,-7.8,4.4,0.030692023,0.021079399,14
1/26/2001,0,-10.6,2.8,0.028063754,0.019573728,13
1/27/2001,0,-5.6,1.7,0.023872376,0.019573728,13
1/28/2001,0,-7.2,2.2,0.02643324,0.018068056,12
1/29/2001,0,-11.7,2.8,0.028960782,0.018068056,12
1/30/2001,0.649606299,-5.6,3.3,0.0286128,0.048181484,32
1/31/2001,0.169291339,-1.1,6.1,0.031730133,0.075283568,50
2/1/2001,0,-3.3,7.8,0.039354343,0.069260883,46
2/2/2001,0.019685039,-5.6,1.7,0.025518772,0.054204169,36
2/3/2001,0,-7.2,1.7,0.027064147,0.046675812,31
2/4/2001,0,-11.7,-1.1,0.022633534,0.037641784,25
2/5/2001,1.070866142,-6.7,2.8,0.030140602,0.03312477,22
2/6/2001,0.098425197,-0.6,6.1,0.033205305,0.045170141,30
2/7/2001,0,-2.8,6.1,0.03665203,0.049687155,33
2/8/2001,0.12992126,-5,3.3,0.031213458,0.04366447,29
2/9/2001,0.188976378,-0.6,7.2,0.038118337,0.046675812,31
2/10/2001,0.031496063,-5.6,8.3,0.046737949,0.102385653,68
2/11/2001,0,-11.7,-5,0.016205676,0.087328939,58
2/12/2001,0,-15,-1.7,0.023108526,0.060226854,40
2/13/2001,0,-4.4,6.7,0.042846101,0.051192826,34
2/14/2001,0.25984252,-7.8,5,0.040301568,0.061732526,41
2/15/2001,0,-1.7,4.4,0.032880853,0.090340282,60
2/16/2001,0.149606299,-7.2,3.3,0.036138547,0.072272225,48
2/17/2001,0,-10,3.3,0.037529808,0.06624954,44
2/18/2001,0,-12.8,-2.2,0.024171564,0.05570984,37
2/19/2001,0,-9.4,3.3,0.03834723,0.048181484,32
2/20/2001,0,2.2,11.1,0.053855585,0.048181484,32
